Experiment,Species,Enter,Exit,Occupancy,Truth,AC1
1,BMTF,0.251888861625,0.106225194375,0.705045448312499,0.0365079365079365,0.641885944
1,CEF,0.11477595405,0.01715620339125,0.866372706000001,0.926984126984127,0.86806784255875
1,EBF,0.0913864388562499,0.06341842288125,0.59027485275,0.706349206349206,0.8451951382625
1,GBF,0.0051414289755625,0.048260173088125,0.109707092349375,0.100793650793651,0.946598397936313
1,GSF,0.00325131248759087,0.603540709471313,0.00667399453955369,0.00714285714285714,0.393207978041096
1,PTF,0.04200383974375,0.0288402325318751,0.5912015566875,0.618253968253968,0.929155927724375
1,SMF,0.09785302531875,0.00803641138937499,0.917937577875,0.94047619047619,0.894110563291875
2,CEF,0.382059161,0.10034272788125,0.7903187270625,0.825363825363825,0.51759811111875
2,EBF,0.0193024117435,0.1885709200225,0.099760815889375,0.386694386694387,0.792126668234
2,GBF,0.00286526454638615,0.01564933714475,0.187796329025098,0.264033264033264,0.981485398308864
2,SMF,0.08179763094625,0.02206022167,0.777366482937501,0.792099792099792,0.89614214738375
2,BMTF,0.0788499534500001,0.03238086710375,0.702081823500001,0.0706860706860707,0.88876917944625
2,GSF,0.01246578491825,0.13247555476,0.0996847259025,0.130977130977131,0.85505866032175
2,LLJ,0.0180964447403125,0.0462857164919375,0.29660975633125,0.264033264033264,0.93561783876775
2,PTF,0.01869263457375,0.026117659565,0.42340871253125,0.347193347193347,0.95518970586125
2,WTF,0.03968380737625,0.06681163085375,0.37928638881875,0.444906444906445,0.89350456177
